epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
104,119822,1.21639,1.23023,1.1342,0.376,0.36743,0.31392,0.21356,1.33939,1.53536,1.33841,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,121363,1.21234,1.23087,1.13012,0.37278,0.36689,0.31364,0.21342,1.33967,1.53588,1.33815,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,122709,1.21239,1.21943,1.13047,0.37082,0.36672,0.31359,0.21335,1.34025,1.53656,1.33807,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,123914,1.20588,1.21716,1.12582,0.37162,0.36492,0.31357,0.2133,1.34045,1.53678,1.33761,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,125145,1.21507,1.22047,1.13142,0.37213,0.36527,0.31334,0.21337,1.34047,1.53783,1.3375,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,126417,1.20244,1.21563,1.12601,0.37265,0.36341,0.31319,0.21345,1.34023,1.53829,1.33682,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,127692,1.2039,1.21019,1.1214,0.37393,0.36326,0.31274,0.21332,1.34051,1.54015,1.33628,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,129133,1.20155,1.20547,1.12607,0.37508,0.36203,0.31243,0.21319,1.34081,1.54112,1.33592,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,130497,1.20467,1.21577,1.1254,0.37458,0.36309,0.3126,0.21305,1.34124,1.54158,1.33533,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,131968,1.2044,1.21181,1.12466,0.37586,0.36184,0.31267,0.2132,1.34159,1.54229,1.33504,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,133323,1.19075,1.20129,1.1198,0.37571,0.3632,0.31299,0.21344,1.34215,1.54279,1.33557,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,134614,1.20009,1.2058,1.12377,0.37768,0.36285,0.31313,0.21362,1.34266,1.54409,1.33547,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,135961,1.19135,1.18606,1.11895,0.38015,0.36082,0.31304,0.21376,1.34233,1.54551,1.33437,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,137321,1.18945,1.18945,1.12128,0.38065,0.36157,0.31318,0.21378,1.34255,1.54604,1.3342,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,138753,1.1914,1.18337,1.11621,0.3797,0.36247,0.31292,0.21371,1.34273,1.54664,1.3336,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,140252,1.18874,1.18332,1.11919,0.38026,0.36222,0.31269,0.21362,1.34314,1.54792,1.33373,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,141760,1.18587,1.16856,1.11659,0.38228,0.35967,0.31267,0.21349,1.3435,1.54919,1.33422,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,143294,1.17641,1.17452,1.11175,0.3833,0.35647,0.31248,0.2133,1.34394,1.55042,1.33451,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,144883,1.18267,1.17267,1.117,0.38335,0.35626,0.31248,0.2132,1.34405,1.55151,1.33474,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,146321,1.17509,1.15868,1.11283,0.3822,0.35811,0.31305,0.21341,1.34439,1.55195,1.33483,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,147645,1.18008,1.15968,1.11309,0.38129,0.35904,0.31299,0.21349,1.34472,1.55241,1.33507,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,149007,1.16951,1.15318,1.10757,0.38233,0.3582,0.31322,0.21367,1.34533,1.5523,1.33556,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,150391,1.17675,1.15757,1.11071,0.37586,0.36346,0.31345,0.21376,1.34557,1.55302,1.33542,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,152239,1.16917,1.13767,1.10692,0.37687,0.36176,0.31316,0.21342,1.34616,1.554,1.33546,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,154297,1.1694,1.14597,1.11168,0.37277,0.36474,0.31315,0.21342,1.34624,1.55435,1.33515,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,156172,1.16389,1.15713,1.10923,0.37456,0.36198,0.31374,0.21371,1.34702,1.55544,1.33554,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,157722,1.16671,1.15508,1.10897,0.37399,0.36209,0.31375,0.21375,1.34728,1.55668,1.33565,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
